Año,Trimestre,Provincia,Accesos/100 hab,Latitud,Longitud
2020,1,Chubut,"15,72","-43,3002","-65,1023"
2020,1,Córdoba,"21,64","-31,4201","-64,1888"
2020,1,Corrientes,"10,20","-27,4806","-58,8341"
2020,1,Entre Ríos,"16,78","-32,0718","-60,5238"
2020,1,Formosa,"7,69","-26,1728","-58,1825"
2020,1,Jujuy,"11,93","-24,1945","-65,2971"
2020,1,La Pampa,"24,96","-37,7429","-64,2856"
2020,1,La Rioja,"12,34","-29,4135","-66,8565"
2020,1,Mendoza,"9,25","-34,5890","-68,3480"
2020,1,Misiones,"10,63","-27,3644","-55,9000"
2020,1,Neuquén,"18,41","-38,9516","-68,0591"
2020,1,Río Negro,"16,95","-40,8135","-67,9665"
2020,1,Salta,"12,01","-24,7821","-65,4232"
2020,1,San Juan,"8,25","-31,5275","-68,5386"
2020,1,San Luis,"21,84","-33,3018","-66,3378"
2020,1,Santa Cruz,"10,70","-48,7834","-69,9335"
2020,1,Santa Fe,"21,86","-31,6333","-60,7000"
2020,1,Santiago Del Estero,"10,54","-27,7834","-64,2642"
2020,1,Tierra Del Fuego,"22,55","-54,8019","-68,3029"
2020,1,Tucumán,"11,85","-26,8241","-65,2226"
2019,4,Buenos Aires,"21,14","-36,6769","-60,5588"
2019,4,Capital Federal,"44,19","-34,6037","-58,3816"
2019,4,Catamarca,"9,27","-28,4696","-65,7795"
2019,4,Chaco,"9,85","-27,4515","-58,9864"
2019,4,Chubut,"15,68","-43,3002","-65,1023"
2019,4,Córdoba,"21,58","-31,4201","-64,1888"
2019,4,Corrientes,"10,21","-27,4806","-58,8341"
2019,4,Entre Ríos,"17,34","-32,0718","-60,5238"
2019,4,Formosa,"7,76","-26,1728","-58,1825"
2019,4,Jujuy,"11,60","-24,1945","-65,2971"
2019,4,La Pampa,"25,34","-37,7429","-64,2856"
2019,4,La Rioja,"12,55","-29,4135","-66,8565"
2019,4,Mendoza,"9,39","-34,5890","-68,3480"
2019,4,Misiones,"10,84","-27,3644","-55,9000"
2019,4,Neuquén,"17,67","-38,9516","-68,0591"
2019,4,Río Negro,"17,13","-40,8135","-67,9665"
2019,4,Salta,"12,20","-24,7821","-65,4232"
2019,4,San Juan,"8,37","-31,5275","-68,5386"
2019,4,San Luis,"21,44","-33,3018","-66,3378"
2019,4,Santa Cruz,"10,92","-48,7834","-69,9335"
2019,4,Santa Fe,"21,85","-31,6333","-60,7000"
2019,4,Santiago Del Estero,"10,65","-27,7834","-64,2642"
2019,4,Tierra Del Fuego,"23,63","-54,8019","-68,3029"
2019,4,Tucumán,"11,80","-26,8241","-65,2226"
2019,3,Buenos Aires,"22,76","-36,6769","-60,5588"
2019,3,Capital Federal,"46,90","-34,6037","-58,3816"
2019,3,Catamarca,"7,86","-28,4696","-65,7795"
2019,3,Chaco,"9,58","-27,4515","-58,9864"
2019,3,Chubut,"14,58","-43,3002","-65,1023"
2019,3,Córdoba,"21,00","-31,4201","-64,1888"
2019,3,Corrientes,"10,13","-27,4806","-58,8341"
2019,3,Entre Ríos,"17,31","-32,0718","-60,5238"
2019,3,Formosa,"7,66","-26,1728","-58,1825"
2019,3,Jujuy,"11,33","-24,1945","-65,2971"
